,excess_portfolio_return
2000-02-11,-0.009561409700459501
2000-02-14,-0.00330604402257
2000-02-15,0.003630760785140968
2000-02-16,-0.004693528127885496
2000-02-17,-0.005795682979836601
2000-02-18,-0.010388030999378
2000-02-22,0.0051908772168209995
2000-02-23,-0.0055327844534938
2000-02-24,-0.0071694748268427005
2000-02-25,-0.011696608469713899
2000-02-28,0.0078288405794201
2000-02-29,0.0029260037652736
2000-03-01,0.0018806601090947
2000-03-02,-0.002985667715047
2000-03-03,0.0088601948565408
2000-03-06,-0.0074172587565922
2000-03-07,-0.010172403217041099
2000-03-08,-0.0018381633402501
2000-03-09,0.0090418364149897
2000-03-10,-0.0057179748249332
2000-03-13,0.0026126885918179997
2000-03-14,-0.0056537786583171
2000-03-15,0.0202150933895899
2000-03-16,0.024414742224851998
2000-03-17,-0.0013932492542636761
2000-03-20,-0.0048274877274382
2000-03-21,0.017192399289026498
2000-03-22,0.0008692748334276
2000-03-23,0.0106993465176548
2000-03-24,-0.004058969095665943
2000-03-27,-0.0062630427959871
2000-03-28,-0.0021401690980425
2000-03-29,-0.0061380814841727
2000-03-30,-0.0037922287932379
2000-03-31,0.0071286535518617
2000-04-03,0.013054273976276601
2000-04-04,0.0015384299434811001
2000-04-05,-0.0055986537575414
2000-04-06,-0.0012006853318043999
2000-04-07,-0.0027251564123351004
2000-04-10,0.004849177580464501
2000-04-11,5.3599694362299984e-05
2000-04-12,-0.002767578749668
2000-04-13,-0.0076589266137708995
2000-04-14,-0.0274933655939205
2000-04-17,0.007972277624011601
2000-04-18,0.0109142263568595
2000-04-19,-0.0055005499083541996
2000-04-20,0.00021557987024550001
2000-04-24,0.0008957753570568
2000-04-25,0.011698476682302799
2000-04-26,-0.0102100416043399
2000-04-27,-0.0044928729718743
2000-04-28,-0.0081603381175214
2000-05-01,0.0058457722409528
2000-05-02,-0.0027836001343305
2000-05-03,-0.008615895281796099
2000-05-04,-0.0018665980445737
2000-05-05,0.00043493621518351085
2000-05-08,0.0019745423997119
2000-05-09,-0.000904184493061
2000-05-10,-0.006102467199116801
2000-05-11,0.0064070462989159
2000-05-12,0.0046841722435350995
2000-05-15,0.0083790563952553
2000-05-16,0.0039283603937665
2000-05-17,-0.0098941676852873
2000-05-18,0.0010944412413067001
2000-05-19,-0.007382719355105
2000-05-22,0.0015378880367036
2000-05-23,-0.001466744275856602
2000-05-24,0.0066197132964242
2000-05-25,-0.010706898256204
2000-05-26,0.0025607482874671996
2000-05-30,0.009265283749068
2000-05-31,0.0002679520921178
2000-06-01,0.0091814900375202
2000-06-02,0.0176187704067433
2000-06-05,-0.0010539019623001
2000-06-06,-0.0026118352984445454
2000-06-07,0.0028321386090789003
2000-06-08,-0.0073470381564237006
